fp	tp	fn	exp.pos	obs.pos	tpr	fdr	fnr	precision	prob.thresh
0	0	2	2	0	0	NA	1	NA	0.5
0	0	2	2	0	0	NA	1	NA	0.52
0	0	2	2	0	0	NA	1	NA	0.54
0	0	2	2	0	0	NA	1	NA	0.56
0	0	2	2	0	0	NA	1	NA	0.58
0	0	2	2	0	0	NA	1	NA	0.6
0	0	2	2	0	0	NA	1	NA	0.62
0	0	2	2	0	0	NA	1	NA	0.64
0	0	2	2	0	0	NA	1	NA	0.66
0	0	2	2	0	0	NA	1	NA	0.68
0	0	2	2	0	0	NA	1	NA	0.7
0	0	2	2	0	0	NA	1	NA	0.72
0	0	2	2	0	0	NA	1	NA	0.74
0	0	2	2	0	0	NA	1	NA	0.76
0	0	2	2	0	0	NA	1	NA	0.78
0	0	2	2	0	0	NA	1	NA	0.8
0	0	2	2	0	0	NA	1	NA	0.82
0	0	2	2	0	0	NA	1	NA	0.84
0	0	2	2	0	0	NA	1	NA	0.86
0	0	2	2	0	0	NA	1	NA	0.88
0	0	2	2	0	0	NA	1	NA	0.9
0	0	2	2	0	0	NA	1	NA	0.92
0	0	2	2	0	0	NA	1	NA	0.94
0	0	2	2	0	0	NA	1	NA	0.96
0	0	2	2	0	0	NA	1	NA	0.98
0	0	2	2	0	0	NA	1	NA	1
